n,algoritmo,repetición,distancia,tiempo_segundos
5,PATH_CHEAPEST_ARC,1,197.76047663253783,0.0018367767333984375
5,PATH_CHEAPEST_ARC,2,224.51534663185663,0.0007145404815673828
5,PATH_CHEAPEST_ARC,3,222.22066460653178,0.0006730556488037109
5,PATH_CHEAPEST_ARC,4,146.33929533961978,0.0006642341613769531
5,PATH_CHEAPEST_ARC,5,157.05447421328523,0.0006859302520751953
5,PATH_CHEAPEST_ARC,6,183.519871008189,0.0006825923919677734
5,PATH_CHEAPEST_ARC,7,220.6511492610881,0.0006697177886962891
5,PATH_CHEAPEST_ARC,8,235.4819262030764,0.0006868839263916016
5,PATH_CHEAPEST_ARC,9,257.25427017215327,0.00067901611328125
5,PATH_CHEAPEST_ARC,10,243.52498442227255,0.000682830810546875
5,SAVINGS,1,196.3832597835783,0.0008261203765869141
5,SAVINGS,2,216.76462267898665,0.0006890296936035156
5,SAVINGS,3,259.7715384652131,0.0007233619689941406
5,SAVINGS,4,287.7147569230868,0.0006771087646484375
5,SAVINGS,5,165.00055956449108,0.0006732940673828125
5,SAVINGS,6,210.51609073342195,0.0007457733154296875
5,SAVINGS,7,258.30804787313696,0.0006725788116455078
5,SAVINGS,8,222.90783495971857,0.0006735324859619141
5,SAVINGS,9,209.0977589078728,0.0006573200225830078
5,SAVINGS,10,259.3364030944535,0.000667572021484375
5,CHRISTOFIDES,1,277.8483886890414,0.0007407665252685547
5,CHRISTOFIDES,2,234.90180855895238,0.0007197856903076172
5,CHRISTOFIDES,3,223.3794502593272,0.0007431507110595703
5,CHRISTOFIDES,4,207.80624586281633,0.0007870197296142578
5,CHRISTOFIDES,5,189.77356227562353,0.0007922649383544922
5,CHRISTOFIDES,6,276.30162533431906,0.00074005126953125
5,CHRISTOFIDES,7,237.61845020922175,0.0007283687591552734
5,CHRISTOFIDES,8,249.10745851404505,0.0007624626159667969
5,CHRISTOFIDES,9,200.41798169371486,0.0006630420684814453
5,CHRISTOFIDES,10,238.42262985676138,0.0006742477416992188
10,PATH_CHEAPEST_ARC,1,307.0316359857105,0.0014035701751708984
10,PATH_CHEAPEST_ARC,2,284.28582601817664,0.0015439987182617188
10,PATH_CHEAPEST_ARC,3,296.3673872701515,0.0018241405487060547
10,PATH_CHEAPEST_ARC,4,271.9937766201551,0.001619577407836914
10,PATH_CHEAPEST_ARC,5,237.3275565387748,0.0016984939575195312
10,PATH_CHEAPEST_ARC,6,308.6925513579518,0.0015532970428466797
10,PATH_CHEAPEST_ARC,7,296.4856715632533,0.00144195556640625
10,PATH_CHEAPEST_ARC,8,206.63602619550417,0.0014014244079589844
10,PATH_CHEAPEST_ARC,9,296.0874318754146,0.0015451908111572266
10,PATH_CHEAPEST_ARC,10,252.84366319638127,0.001688241958618164
10,SAVINGS,1,280.78650585835805,0.0018084049224853516
10,SAVINGS,2,281.37689764764593,0.0015666484832763672
10,SAVINGS,3,364.8673592482188,0.0015053749084472656
10,SAVINGS,4,247.16236008725775,0.0013637542724609375
10,SAVINGS,5,290.36197463429477,0.0015518665313720703
10,SAVINGS,6,235.96523606912663,0.0015454292297363281
10,SAVINGS,7,233.75216329374476,0.0014111995697021484
10,SAVINGS,8,268.8379237442295,0.0018055438995361328
10,SAVINGS,9,294.296641159231,0.0014917850494384766
10,SAVINGS,10,283.75803113000285,0.0014719963073730469
10,CHRISTOFIDES,1,279.56023303724686,0.0013082027435302734
10,CHRISTOFIDES,2,349.3258511264268,0.0014548301696777344
10,CHRISTOFIDES,3,240.93875538252638,0.0014684200286865234
10,CHRISTOFIDES,4,326.99761815527495,0.001636505126953125
10,CHRISTOFIDES,5,247.66624431509737,0.0014510154724121094
10,CHRISTOFIDES,6,274.32932644139544,0.001630544662475586
10,CHRISTOFIDES,7,271.4920364250684,0.0018398761749267578
10,CHRISTOFIDES,8,300.9306920202475,0.0015194416046142578
10,CHRISTOFIDES,9,289.21132809231824,0.001285552978515625
10,CHRISTOFIDES,10,253.16378908467226,0.0013508796691894531
15,PATH_CHEAPEST_ARC,1,298.42033951519494,0.002660036087036133
15,PATH_CHEAPEST_ARC,2,346.5496213123422,0.0025482177734375
15,PATH_CHEAPEST_ARC,3,359.23535627416766,0.0040166378021240234
15,PATH_CHEAPEST_ARC,4,389.4139358048223,0.002838134765625
15,PATH_CHEAPEST_ARC,5,316.3392815509485,0.0029740333557128906
15,PATH_CHEAPEST_ARC,6,350.32028475544416,0.0028951168060302734
15,PATH_CHEAPEST_ARC,7,349.4853467635478,0.003783702850341797
15,PATH_CHEAPEST_ARC,8,323.87098238781374,0.002920389175415039
15,PATH_CHEAPEST_ARC,9,285.4095766640059,0.003443002700805664
15,PATH_CHEAPEST_ARC,10,384.45754108459977,0.0026466846466064453
15,SAVINGS,1,287.8883493619162,0.0025153160095214844
15,SAVINGS,2,309.85732006869597,0.002753019332885742
15,SAVINGS,3,336.722325111354,0.0028946399688720703
15,SAVINGS,4,319.7561029058475,0.0029685497283935547
15,SAVINGS,5,307.6980725875974,0.002547740936279297
